16-01	phuutone-3ceuya letone-3 phuutone-3ying anaaatone-2yutemyawtone-5nantone-5 teamtone-2lytone-3miilwangtone-3maktat cwamluunytone-3 ceuwkhiuuw, kuunciungtone-3miuung hiuw ceuwkiuuwyamciuuwnytone-5se tiunmiisuntone-2lytone-3taatone-2kuuptone-5kuutone-3 letone-3 tangtone-3 naatone-3heaateaahiuunyuutone-2. khawnytone-5 miuuwtone-3yeumpenpuutone-2awaktone-2 phuuwmekannantone-5letone-3sang, miuuwtone-3yeum pheuttone-2yeunpiuntone-5pettone-3kannantone-5letone-3sang miisuntone-2lytone-3 taatone-2khunytone-5hanphengtone-2pengkan nangtone-2miuuwtone-3  kuuptone-5kuutone-3nantone-5yuutone-2.
16-02	lwangtone-3kuuptone-5kuutone-6penhiuunnytone-5 luktone-3khuunymwtone-2 letone-3 luktone-3pwtone-5mwtone-2 tangswangpaatone-3phwamtone-5huumtone-3lytone-3cwkan lwattone-3lwattone-3lew lewcangtone-2 telytone-3het.
16-03	naatone-3heaateaahiuun anwaatone-3nantone-5 penmuutone-2kwantone-3piuntone-5ngawtone-3 khwangmuktone-5phungkuun letone-3 penantuukthuktone-2cwam saphaatone-2wase samtone-5miisuntone-2lytone-3tunghaptone-5awanmuktone-5phungkuun letone-3 luungpwangciungtone-3kettone-2khe hetone-5kangtone-3pannantone-5 yuutone-2.
17-00	twantone-3 17
17-01	kuunkuutone-6keaatone-5nytone-5 miisuntone-2lytone-3taatone-2piuungtone-2ngamkhuuwkhwang hangkwanycawtone-3kawtone-2 letone-3 huumtone-3luunytone-3tangpiuuntone-3yuutone-2.
17-02	peaaamtone-2cwtone-3ywantone-5luunytone-3pakpiuungfingtone-3miuungny phwseamtone-2waatone-3 teamtone-2lytone-3thuktone-2aiut heumtone-3pettone-3 lwangtone-3piuungtone-2ngam khuuwkhwangman.
18-00	twantone-3 18
18-01	kuunkuutone-6keaatone-5nytone-5 miisuntone-2lytone-3 taatone-2wuuntone-5khytone-3, haptone-5han, kiuuwyam lwattone-3lwattone-3lewlewse nwnantone-5 paawytone-5suntone-2lytone-3 taatone-2lektone-3leuyatone-3ceuwkiuuwyam letone-3 peuyayumtone-2yamcawtone-3kawtone-2nantone-5 lwattone-3lwattone-3lewlewyuutone-2. liuuwnantone-5 yuutone-2tiitone-3keaatone-5 lwphwmanletone-3sang huumtone-3luunytone-3tangteungtone-2keaatone-5seletone-3sang cwamnangtone-2  cawtone-3kawtone-2 kiuuwyam amtone-2nan puungswanlytone-3, phiukkamlytone-3, kiuuwyamnaptone-5thiuwlytone-3 tiitone-3pheuyatone-2naatone-3kuunmiuung tangleuya letone-3 tiitone-3laptone-5langkhawnantone-5 lwattone-3lwattone-3lew lewyuutone-2.
19-00	twantone-3 19
19-01	kuunkuutone-6keaatone-5nytone-5 miisuntone-2lytone-3taatone-2haptone-5han letone-3 piuttone-2ne lwattone-3lwattone-3lewlewyuutone-2, nwnanpaawytone-5 cemsuntone-2lytone-3 anamtone-2miilwangtone-3kittone-2khwangtone-3sangse haptone-5hanlytone-3lwattone-3lwattone-3lewlewnantone-5letone-3 anamtone-2teuptone-3naptone-5swantone-2teaatone-2 lentone-6linkhantone-3miuungse swaktone-3haa, tunghaptone-5, piunphelytone-3 kheuwtone-2ngeuw aiktone-2peuyawuuntone-5khaw lwattone-3lwattone-3lewlew nantone-5yuutone-2.
20-00	twantone-3 20
20-01	kuunkuutone-6keaatone-5nytone-5 miisuntone-2lytone-3 taatone-2tumtwamkankatkatyenyen letone-3 taatone-2khwattone-2phwattone-3muktone-5cumlytone-3 lwattone-3 lwattone-3lewlewyuutone-2.
20-02	teamtone-2lytone-3tekcwtone-5phuutone-3lw khawtone-3paanwmuktone-5cumseanan.
21-00	twantone-3 21
21-01	kuunkeaatone-5niungtone-3nytone-5 teumtuuwmankamsiuwtone-3letone-3sang, luktone-3tiitone-3phuutone-3ten anliuuktone-3tangtone-3 maalwattone-3lwattone-3lew lewnantone-5letone-3sang miisuntone-2lytone-3 taatone-2khawhuumtone-3hetseungtone-3 nwkeunphwangngam ciungtone-3miuung nantone-5yuutone-2.
21-02	kuunkuutone-6keaatone-5nytone-5 miisuntone-2lytone-3 taatone-2khawtone-3huumtone-3het phuutone-3heuptone-2keunciungtone-3miuungnantone-5 phengtone-2pengkanyuutone-2.
21-03	keungcwkuunmiuungnytone-5 telytone-3penngawtone-3piuntone-5 aaatone-2naatone-2luungpwangciungtone-3. keungcwkuunmiuungnytone-5 telytone-3mak tatkheuw yeumse hethwtone-3theungtone-2cengtone-3luunytone-3tang keunliuuktone-3tangtone-3 anciuntone-3ceungtone-2. keunliuuktone-3tangtone-3nytone-5keaatone-3 telytone-3miisuntone-2lytone-3 taatone-2panseng phengtone-2phentone-3kanseamtone-2kaa telytone-3hetcwam lwakpiuungsenglaptone-5siuungtone-2 amtone-2nan lwakpiuunganlwattone-3lewmiuunnynantone-5.
22-00	twantone-3 22
